post_created,post_text,user_id
Mon Aug 24 07:12:24 +0000 2015,Truly so awful 😟 ,lak2803
Mon Aug 24 07:10:25 +0000 2015,I dont understand this. What does it achieve?!😕Palmyras Baalshamin temple blown up by IS ,lak2803
Mon Aug 24 06:21:48 +0000 2015,"RT  Cigarettes made out of green tea leaves, claim to help you quit smoking  ",lak2803
Sun Aug 23 21:48:16 +0000 2015,Not having to get up in the morning for two whole weeks. Bliss. 😊,lak2803
Sun Aug 23 20:06:21 +0000 2015,I feel like an invisible hand is trying to remove both my eyeballs with a spoon 😖,lak2803
Sun Aug 23 20:01:04 +0000 2015,RT  ‘Hair tapestry’ is the latest hair trend  ,lak2803
Sun Aug 23 19:25:57 +0000 2015,It feels like shoreham coverage and alt media has now gone beyond news to ghoulish...,lak2803
Sun Aug 23 19:21:55 +0000 2015," its The Mail, its entirely their MO. Mail Online is barely news 😕",lak2803
Sun Aug 23 19:03:08 +0000 2015, its so awful 😟,lak2803
Sun Aug 23 18:59:52 +0000 2015,The awfulness of it continues. Heartbreaking 😟 ,lak2803
Sun Aug 23 16:30:38 +0000 2015,Lazy afternoon snooze with my kitty cat... lazysunday,lak2803
Sun Aug 23 15:56:22 +0000 2015,The pain and heartbreak of tragedy is such a confusing emotion. I feel such sadness for my south coast friends shoreham,lak2803
Sun Aug 23 14:59:01 +0000 2015,Pouring with rain in cambridge. That sun didnt last long... 😕,lak2803
Sun Aug 23 14:24:49 +0000 2015,RT  Friends of  footballers pay tribute to to their teammates -  ,lak2803
Sun Aug 23 13:04:55 +0000 2015,Ive done nothing for the last 40 minute. Enough. I need to stand up and do stuff lazysunday,lak2803
Sun Aug 23 07:31:07 +0000 2015,RT  Comfy this Sunday morning? Our cushion blog post will only make you more snug!  ,lak2803
Sun Aug 23 06:50:46 +0000 2015,RT  A27 diversion route likely to remain in place all day after Shoreham air crash -  ,lak2803
Sun Aug 23 06:44:58 +0000 2015," new media highlights the hypocrisy of humans. Tragedy is global, but many choose to ignore whats not on their doorstep x",lak2803
Sat Aug 22 20:29:57 +0000 2015,I hope the pilot pulls through. Theres been enough death today at shoreham 😟 ,lak2803
Sat Aug 22 16:37:55 +0000 2015,  I keep seeing comments that the pilot was saved. If true I find that quite incredible,lak2803
Sat Aug 22 16:11:14 +0000 2015,"  urgh, awful 😢",lak2803
Sat Aug 22 16:09:15 +0000 2015,"  I cant shake the image of the unsuspecting people, driving along, minding their own business. Tragically sad.",lak2803
Sat Aug 22 16:01:22 +0000 2015," *this*. Dear god! Horrific image 😟 Awful, awful, awful 😢 ",lak2803
Sat Aug 22 15:54:39 +0000 2015,RT  7 people confirmed dead after plane crashed into several vehicles on A27 during Shoreham Airshow ,lak2803
Sat Aug 22 15:45:53 +0000 2015, BBC reporting 7 fatalities so far 😟 Just so awful,lak2803
Sat Aug 22 15:34:09 +0000 2015,Toaster shopping is needlessly confusing...,lak2803
Sat Aug 22 15:28:28 +0000 2015,"Finding it hard to find a funky decent quality toaster at a reasonable price. All silver, boring or cheap looking... firstworldproblems",lak2803
Sat Aug 22 15:21:36 +0000 2015,RT  This very sad footage has been released of the Shoreham air crash. The content is obviously distressing. ,lak2803
Sat Aug 22 14:32:43 +0000 2015, I had the same thought 😟,lak2803
Sat Aug 22 14:27:05 +0000 2015,"What an awful, awful tragedy. Lets hope the casualties are few 😟 ",lak2803
Sat Aug 22 07:44:03 +0000 2015,So true 💕 ,lak2803
Sat Aug 22 06:22:55 +0000 2015,Sofa shopping! Whoop! 🎉,lak2803
Sat Aug 22 06:15:30 +0000 2015,My cat is always overjoyed to see me every morning. That kind of love is priceless 💕😊,lak2803
Sat Aug 22 05:47:32 +0000 2015, beach trip 😉,lak2803
Sat Aug 22 05:29:25 +0000 2015, are you going to go?,lak2803
Fri Aug 21 19:49:25 +0000 2015,"Its dusk, but warm. Cool 😊💕 ",lak2803
Fri Aug 21 18:50:29 +0000 2015, awesome motovlogs! Your commentary is great fun. Now I want a bike... 😉,lak2803
Fri Aug 21 16:52:19 +0000 2015,RT  dolphins spotted heading east from Hove keep a look out! ,lak2803
Fri Aug 21 16:33:25 +0000 2015,Just finished a service centre call that didnt make me want to cry or punch something. Good work Eon 👍🏼,lak2803
Fri Aug 21 16:27:44 +0000 2015,RT  Man taken to hospital after suffering arm wrestling injury on Mill Road ,lak2803
Fri Aug 21 16:13:49 +0000 2015, you too! ☀️,lak2803
Fri Aug 21 16:11:32 +0000 2015," hi, thx. Yes, I found it in the end and spoke with a nice, helpful young lady. All sorted. Thx.",lak2803
Fri Aug 21 16:10:35 +0000 2015," re my last tweet, dont worry, spoke to v helpful young lady. All sorted. Thx!",lak2803
Fri Aug 21 16:00:24 +0000 2015," hi, Im trying to find a number to phone for a new account but cant find it. Please can you advise. Thx.",lak2803
Fri Aug 21 09:11:28 +0000 2015,Fragile egos and umbrage taken in a blink. I need a break.,lak2803
Fri Aug 21 08:28:44 +0000 2015,RT  Our dogs are desperate for treats!Ben and his friends would be so grateful for any donations.  ,lak2803
Fri Aug 21 08:17:08 +0000 2015,Two weeks off. I cant fing wait! I need to get away from work now.,lak2803
Fri Aug 21 07:31:34 +0000 2015,RT  15 things you didnt know you could do with Malteasers and they are all epic  ,lak2803
Fri Aug 21 07:30:46 +0000 2015,Feeling a strange mix of excited and sad. Such a big change looming. Very liberating in so many ways but lifeischanging,lak2803
Fri Aug 21 07:28:32 +0000 2015,This is the last time Im going to take this bus to work. Feels weird.,lak2803
Fri Aug 21 06:46:16 +0000 2015,... I need to care less but dont want to have a hard heart 😕,lak2803
Fri Aug 21 06:45:36 +0000 2015,I dont know why I allow myself to feel such disappointment in someone even after all this time...,lak2803
Fri Aug 21 05:27:28 +0000 2015,Last day in the office for 2 weeks. Whoop! 😊,lak2803
Thu Aug 20 16:56:21 +0000 2015,Horrible muggy weather cambridge weather,lak2803
Thu Aug 20 16:50:47 +0000 2015,"Not, however, going to miss living on a road where people drive like lunatics...",lak2803
Thu Aug 20 16:36:18 +0000 2015,Walking home... occurs to me that walking home wont be possible soon. I will miss that...,lak2803
Thu Aug 20 12:59:29 +0000 2015,Wondering if this will turn out to be Raymond... 😕 ,lak2803
Thu Aug 20 11:08:29 +0000 2015,I’ve decided that my life NEEDS a pink cuddler chair(bed) 😁💗🏡,lak2803
Thu Aug 20 10:03:00 +0000 2015,I love this story  ,lak2803
Thu Aug 20 07:40:55 +0000 2015,Good luck to all the kids getting their GCSE results today 🎓 resultsday,lak2803
Thu Aug 20 07:02:50 +0000 2015,No people &amp; no traffic... where is everyone? quietcambridge,lak2803
Thu Aug 20 06:30:59 +0000 2015,Can faffing be considered a hobby? Im very good at that...,lak2803
Thu Aug 20 06:09:57 +0000 2015,"This, absolutely this 💜 ",lak2803
Thu Aug 20 06:05:41 +0000 2015,All I can think about right now is sofa shopping. Excited! lol 🏡🎉,lak2803
Thu Aug 20 05:10:24 +0000 2015,I suppose I should get up...,lak2803
Wed Aug 19 22:43:18 +0000 2015,Need to sleep but its been an exciting day and Im still buzzed 😁🏡,lak2803
Wed Aug 19 22:40:27 +0000 2015,Mini hog earlier this evening. One of two that have moved in 💕 ,lak2803
Tue Aug 18 06:31:42 +0000 2015,"RT  The best times to post on Facebook, Instagram, Twitter  ",lak2803
Tue Aug 18 06:17:38 +0000 2015,"Another milestone day... insurance in place, final viewing tonight, deposit prepared, exchange imminent 👍🏼 😊",lak2803
Tue Aug 18 06:15:03 +0000 2015,This is so me 😁 ,lak2803
Tue Aug 18 06:04:15 +0000 2015,"I miss you, every single day. I dont think you know that. Still, its true 💕",lak2803
Mon Aug 17 23:05:14 +0000 2015,Theres either an eyelash or an elephant in my eye. Either way the net result is the same... pain,lak2803
Mon Aug 17 20:18:54 +0000 2015,"RT  ELEPHANT FACT OF THE DAY An elephant herd is considered one of the most closely knit societies of any animal,... ",lak2803
Mon Aug 17 17:42:03 +0000 2015," my beautiful Spopie, adopted from CHAT in 2007. Loving the ☀️ last week 💗 blackcatappreciationday ",lak2803
Mon Aug 17 16:16:11 +0000 2015, do you still use this account?,lak2803
Mon Aug 17 16:12:08 +0000 2015,  what a beauty!,lak2803
Mon Aug 17 15:45:14 +0000 2015,Interesting reading... BBC News - Better diagnosis call for adults with ADHD ,lak2803
Mon Aug 17 11:46:32 +0000 2015," this is my girl, Spopie blackcatappreciationday ",lak2803
Mon Aug 17 11:22:45 +0000 2015,Cementing my status as ‘that crocheting weirdo’ in the staff cafe... 😁,lak2803
Mon Aug 17 11:14:15 +0000 2015,Hear hear  ,lak2803
Mon Aug 17 11:13:49 +0000 2015,Never thought Id say this but Im glad for the distraction of work. Something to keep me productive and organised...,lak2803
Mon Aug 17 09:47:09 +0000 2015,It feels autumnal out all of a sudden... 🍂🍁,lak2803
Mon Aug 17 07:42:09 +0000 2015,Made Jess a cake... 🎂 ,lak2803
Mon Aug 17 06:56:01 +0000 2015,RT  Community rallies behind former soldier who was seen begging at the Beehive Centre  ,lak2803
Mon Aug 17 06:55:29 +0000 2015,RT  5yrs ago a puppy was abandoned in Ireland.  took him to London. I adopted him. Today he swims in California …,lak2803
Mon Aug 17 06:52:00 +0000 2015,I miss you every single day. Some days it feels like being gut-punched.,lak2803
Sun Aug 16 14:45:39 +0000 2015,House smells of cake... 😍🎂,lak2803
Sun Aug 16 11:02:55 +0000 2015,Cotton granny square pink and grey crochet grannysquare ,lak2803
Sun Aug 16 09:17:11 +0000 2015,"Ive had my little car a year today. Happy Birthday little car, still going strong 🎉🚘",lak2803
Sat Aug 15 20:14:08 +0000 2015,A bad week calls for comfortfood ,lak2803
Sat Aug 15 13:59:09 +0000 2015,I ❤️ Ely 😊💕 ely cambridgeshire ,lak2803
Sat Aug 15 09:39:56 +0000 2015,Gorgeous day for a drive to Ely @ Ely Catherdral ,lak2803
Fri Aug 14 18:57:31 +0000 2015, I thought you said I could have him? 😉,lak2803
Thu Aug 13 12:54:50 +0000 2015, it looks awful down there. I hope youre okay xx ,lak2803
Thu Aug 13 12:52:45 +0000 2015,RT  In pictures Severe weather hits Sussex -  ,lak2803
Wed Aug 12 22:14:22 +0000 2015,Block 12 another traditional granny-square crochet crochetblanket afghan ,lak2803
Wed Aug 12 20:53:31 +0000 2015,Hog time! 💕 hedgehog ,lak2803
Wed Aug 12 18:55:01 +0000 2015,This ,lak2803
Wed Aug 12 18:38:25 +0000 2015,"This I know dont crochet when tipsy, angry or sad. Too many extremes and crochet dont mix for me...",lak2803
Wed Aug 12 18:33:20 +0000 2015,"Feeling emotionally drained. Time for an easy, stress free evening. Crochet and the Penguins of Madagascar 🐧",lak2803
Wed Aug 12 18:21:46 +0000 2015,RT  Read this wonderful blog about elephant conservation in Zimbabwe  WorldElephantDay ,lak2803
Wed Aug 12 18:21:46 +0000 2015,RT  Read this wonderful blog about elephant conservation in Zimbabwe  WorldElephantDay ,lak2803
Wed Aug 12 18:21:42 +0000 2015,"RT  AstroLuca2013 RT  Arriving in Queensland, we’re welcomed by a riveting, colorful nature Australia ",lak2803
Wed Aug 12 17:32:43 +0000 2015,RT  Aboard the aquatic combines harvesting weeds in Cambs waterways  -  0750 ,lak2803
Tue Aug 11 22:55:49 +0000 2015,"This, yep ",lak2803
Tue Aug 11 22:42:09 +0000 2015,"Big hoggle, out for his supper tonight. Hes a magical little beastie 💗 ",lak2803
Tue Aug 11 20:28:43 +0000 2015,RT  Marley &amp; Zena on DogRescuers looking fab after rescue from owner who let them to almost starve. Owning a dog is a priv…,lak2803
Tue Aug 11 20:26:07 +0000 2015,RT  Indeed! ,lak2803
Tue Aug 11 19:39:20 +0000 2015,Such a magical sky tonight. It changes in seconds nofilter ,lak2803
Tue Aug 11 19:29:46 +0000 2015,Beautiful sky tonight nofilter ,lak2803
Tue Aug 11 19:12:25 +0000 2015,A rare Tuesday treat for dinner comfortfood ,lak2803
Tue Aug 11 17:54:16 +0000 2015,Bought today. Cant decide if this is super organised or waaay too early... ,lak2803
Tue Aug 11 17:49:06 +0000 2015," sorry to hear this Lily. Pets are family, and its heartbreaking when they die. Dixie had a lovely life with you x",lak2803
Tue Aug 11 15:37:01 +0000 2015,Must remember this... ,lak2803
Mon Aug 10 07:15:29 +0000 2015,Gorilla Has Amazing Reaction When Reunited With Man That Took Care Of Him For 5 Years ,lak2803
Sun Aug 09 22:55:30 +0000 2015,RT  Test your eyes by playing this fast-paced color-matching game  ,lak2803
Sun Aug 09 22:55:22 +0000 2015,"I scored 447 points at KOLOR, a game where you have to guess colors to score high!",lak2803
Sun Aug 09 22:51:40 +0000 2015,"Awake. Mind racing. Need to sleep, dammit! 😟 insomnia",lak2803
Sun Aug 09 22:34:17 +0000 2015,Square 11 done crochet crochetblanket ,lak2803
Sun Aug 09 22:32:44 +0000 2015," glad to see that you survived the brutality of the desert. Stay strong, be safe",lak2803
Sun Aug 09 18:40:36 +0000 2015,I’ve just remembered that the new house has  range cooker. Whoop! Looking forward to road testing it 😊,lak2803
Sun Aug 09 14:39:13 +0000 2015,Square 10 / lacy crochet / pale blue DK yarn crocheting crochetblanket ,lak2803
Sun Aug 09 13:20:48 +0000 2015,9 squares made crochet crocheting ,lak2803
Sun Aug 09 10:31:32 +0000 2015,RT  Have you had a look around Milton Country Park? Weve found some of its prettiest spots  ,lak2803
Sun Aug 09 10:31:05 +0000 2015,RT  Happy Sunday! BorntoSew ,lak2803
Sun Aug 09 10:12:44 +0000 2015,"Deckchair in the sun, whats not to love? ☀️💕😎 CatsOfTwitter ",lak2803
Sat Aug 08 21:28:17 +0000 2015,Watching Pitch Perfect 2... Pat Benatar - We Belong ,lak2803
Sat Aug 08 21:15:27 +0000 2015,"Natalie Imbruglia, where is she now...?",lak2803
Sat Aug 08 20:59:32 +0000 2015,Two hoggles out for dinner so far tonight... hedgehog ,lak2803
Sat Aug 08 12:59:03 +0000 2015,RT  Brighton student chosen to exhibit alongside Hogarth and Reynolds at National Portrait Gallery ,lak2803
Sat Aug 08 12:57:51 +0000 2015, beautiful kitty!,lak2803
Sat Aug 08 12:55:45 +0000 2015, what a lovely kitchen!,lak2803
Sat Aug 08 12:14:23 +0000 2015,RT  18 fun things to do in Cambridgeshire in September  ,lak2803
Sat Aug 08 12:07:05 +0000 2015,Can you see me? 😎 WorldCatDay ,lak2803
Sat Aug 08 12:06:18 +0000 2015,RT  These pups cant be cuddled due to a horrible skin infection.  provide the TLC...  ,lak2803
Sat Aug 08 12:01:41 +0000 2015,"Its not your chair, its all mine! 💗worldcatday ",lak2803
Sat Aug 08 11:44:19 +0000 2015,RT  The Cambridgeshire Cook Book is out now!  ,lak2803
Sat Aug 08 11:43:40 +0000 2015,"RT  Most A-level predicted grades are wrong, Cambridge Assessment finds ",lak2803
Sat Aug 08 11:25:11 +0000 2015,I might have completed on the house by this time next week. Whoop! 🎉🏡,lak2803
Sat Aug 08 11:13:24 +0000 2015, just watched you &amp; Steve get your tats. Looked painless! I want now 👍🏼,lak2803
Sat Aug 08 10:51:03 +0000 2015,Keeping me company while I work ❤️ WorldCatDay  ,lak2803
Sat Aug 08 10:30:57 +0000 2015,What a happy little dog! )  Rose plays with a balloon  via ,lak2803
Fri Aug 07 20:48:48 +0000 2015,4 snuffly hedgehogs out for dinner this evening ❤️,lak2803
Fri Aug 07 12:31:20 +0000 2015,Poor babies ( ,lak2803
Fri Aug 07 12:08:16 +0000 2015,Oh no! What is wrong with people?!?!  ( ,lak2803
Fri Aug 07 11:52:55 +0000 2015,The estate agent is officially pissing me off now...,lak2803
Fri Aug 07 11:51:39 +0000 2015,"RT  Woman, 20, assaulted as she walked home in Peterborough - appeal by  ",lak2803
Fri Aug 07 11:43:49 +0000 2015,RT  Why big game animals are worth more alive than dead  ,lak2803
Fri Aug 07 07:39:34 +0000 2015," a mention in The Times, fastest growing farm attraction. How lovely! Yay for the donkeys!! 💕 ",lak2803
Fri Aug 07 07:02:55 +0000 2015,Are the schools now out? There’s no traffic this morning. Feels really odd...,lak2803
Thu Aug 06 23:33:39 +0000 2015,Square 8 complete. Trebles and bobbles! crochet ,lak2803
Thu Aug 06 19:03:20 +0000 2015,RT  Please RT A massive THANK YOU to the kind souls who look after the orphans of the Rhino horn trade. InSafeHands htt…,lak2803
Thu Aug 06 19:02:53 +0000 2015,RT  Scared baby Elephant Rapas cries saved him from drowning.  Many thanks to the  team! http…,lak2803
Thu Aug 06 16:54:52 +0000 2015,"Its been a while river Cam, but you still fill me with joy 🙏🏼💕 ",lak2803
Thu Aug 06 16:49:40 +0000 2015,A beautiful evening for gentle walk home... ,lak2803
Thu Aug 06 16:22:47 +0000 2015,Yaay! Grantchester! 😁👍🏼 ,lak2803
Thu Aug 06 16:22:11 +0000 2015,I ❤️ bus drivers who actually wait for elderly passengers to sit before they start driving off. They arent all so nice...,lak2803
Thu Aug 06 10:34:15 +0000 2015,RIP George... Minder star George Cole dies at 90 ,lak2803
Thu Aug 06 07:28:37 +0000 2015,Poffy will alway take time out from his hectic schedule of sleeping &amp; eating to give his buddy a quick wash... ❤️ ,lak2803
Wed Aug 05 21:07:51 +0000 2015,Trying a new stitch. Bit uneven so  this is my test attempt 😊 crochet ,lak2803
Wed Aug 05 17:15:07 +0000 2015,RT  RT  Kittens found in car towed 87 miles from Swindon  HeartNews ,lak2803
Wed Aug 05 16:36:57 +0000 2015,"How the boy in front of me, who has a beard and reeks of lager, has just got a child bus fare is a mystery 😳",lak2803
Wed Aug 05 16:29:14 +0000 2015,I’m now a step closer towards contracts signed and completion on the house. Exciting times! 😎,lak2803
Wed Aug 05 10:56:20 +0000 2015,Disgusting. I hope they catch the person doing it.  ,lak2803
Wed Aug 05 09:45:42 +0000 2015,RT  Minions fans! This patterns for you  sewing felt ,lak2803
Wed Aug 05 09:44:17 +0000 2015," one of my girls, doing what she does best, sleeping! 💗 WhiskersWednesday ",lak2803
Wed Aug 05 07:00:36 +0000 2015,I wish the foreign language schools in Cambridge would teach students some manners too... 😤,lak2803
Wed Aug 05 06:13:55 +0000 2015,"Bad nights sleep. Weird, anxiety dreams have left me feeling anything but refreshed 😕",lak2803
Tue Aug 04 17:18:58 +0000 2015, fantastic first vlog. Very emotional. Beautifully filmed. Good luck on your epic ride 👊🏼🍀,lak2803
Tue Aug 04 16:52:56 +0000 2015,Just this ,lak2803
Tue Aug 04 08:42:23 +0000 2015,...and its only Tuesday morning... ,lak2803
Tue Aug 04 06:40:12 +0000 2015,Random song popped into my head... Midnight Train to Georgia. No idea why or where from... ,lak2803
Tue Aug 04 06:12:41 +0000 2015,Life may only seem perfect to the outside world motivationalquotes ,lak2803
Mon Aug 03 21:12:01 +0000 2015,"RT  On a serious note, Im so incredibly proud of all of you for your unified compassion and condemnation of animals abusers.…",lak2803
Mon Aug 03 18:47:30 +0000 2015,Theres nothing more delicious than coming home and taking off the work clothes... 😊,lak2803
Mon Aug 03 16:46:29 +0000 2015,Talking 80s TV shows this afternoon brought up mention of the talking aspidistra. Who remembers that? 😉,lak2803
Mon Aug 03 16:31:24 +0000 2015,Appeal to identify suspects after homophobic assault on train back to London from Brighton Pride ,lak2803
Mon Aug 03 11:35:14 +0000 2015,Retro sweets Monday 😁 ,lak2803
Mon Aug 03 07:28:49 +0000 2015,"RT  Makeup artist paints wonderful, whimsical scenes of adorable cats on eyelids  ",lak2803
Mon Aug 03 07:16:21 +0000 2015,RT  Feeling overwhelmed? - Craft Business Advice - Time Management Tips  - ,lak2803
Mon Aug 03 07:14:41 +0000 2015,RT  Know of a cat-loving friend who would love to have this patch?  ,lak2803
Mon Aug 03 07:13:42 +0000 2015,RT  yarnbombing has come to Coronation Street!  ,lak2803
Mon Aug 03 07:10:11 +0000 2015,"Monday, Im coming to get ya positiveaffirmations ",lak2803
Sun Aug 02 22:51:20 +0000 2015,Remember this ,lak2803
Sun Aug 02 22:37:50 +0000 2015,Pre Monday-anxiety anxiety sucks 😟,lak2803
Sun Aug 02 22:24:43 +0000 2015,How wonderful 😊💗 ,lak2803
Sun Aug 02 15:30:46 +0000 2015,Holywell river front ,lak2803
Sun Aug 02 13:52:44 +0000 2015,Sunday lunch at the Old Ferryboat Inn... ,lak2803
Sun Aug 02 11:56:09 +0000 2015,"RIP Cilla... Cilla Black dies, aged 72 | via  ",lak2803
Sat Aug 01 19:58:57 +0000 2015,The Bangles - Eternal Flame  ,lak2803
Sat Aug 01 19:38:41 +0000 2015,Soooo sleepy... and it’s only 830 on a Saturday night! 😴,lak2803
Sat Aug 01 18:43:19 +0000 2015,My first crochet flower... ,lak2803
Sat Aug 01 16:19:23 +0000 2015,Funny how a song can transport you to a time and place... remind you of someone... causing a physical jolt... changing the moment instantly,lak2803
Sat Aug 01 15:20:45 +0000 2015,I only went in to  for black buttons. Several balls of wool &amp; a needle felt kit later... ,lak2803
Sat Aug 01 06:52:41 +0000 2015,Mashed avocado on toast... breakfast of champions 💗 ,lak2803
Fri Jul 31 19:52:35 +0000 2015,RT  Why protecting endangered species is one of the most important things any of us can do  ,lak2803
Fri Jul 31 18:42:59 +0000 2015,💗 this... Tears For Fears - Head Over Heels ,lak2803
Fri Jul 31 18:28:51 +0000 2015,Mum is out of surgery and seems to be fine. Overnight in the hospital then home tomorrow... 😊,lak2803
Fri Jul 31 18:20:39 +0000 2015,New crochet project... making red poppies to sell for the British Legion. First flowers I’ve ever made 😊,lak2803
Fri Jul 31 17:00:25 +0000 2015,What a vile sub-human... ,lak2803
Fri Jul 31 16:25:11 +0000 2015,Good to be home. Happy it’s finally Friday and work is over... 😊,lak2803
Fri Jul 31 14:25:11 +0000 2015,"RT  Would you know what to do if your cat was poisoned? See symptoms &amp; advice on what to do, here  h…",lak2803
Sat Nov 07 14:15:26 +0000 2015,Is depression an illness? ,dhruv.xd
Sat Nov 07 13:15:27 +0000 2015,Searching for a therapist that meets on weekends? ,dhruv.xd
Sat Nov 07 12:15:25 +0000 2015,The 1st Lady’s mental health road map? mental wellness ,dhruv.xd
Sat Nov 07 11:15:24 +0000 2015,Want your teen to practice safe sex? parenting ,dhruv.xd
Sat Nov 07 10:15:18 +0000 2015,Untreated mental illness leaves 2 dead mentalillness ,dhruv.xd
Sat Nov 07 09:15:12 +0000 2015,Stereotypes about teens can undermine parents? ,dhruv.xd
Sat Nov 07 08:15:11 +0000 2015,What do you do when your loved one is in crisis? ,dhruv.xd
Sat Nov 07 07:15:09 +0000 2015,Parenting with mental illness mentalillness ,dhruv.xd
Sat Nov 07 06:15:07 +0000 2015,How recovery from addiction impacts the family? ,dhruv.xd
Sat Nov 07 05:15:07 +0000 2015,Heroin deaths on a surge? ,dhruv.xd
Sat Nov 07 04:45:31 +0000 2015,How not to raise a narcissist ,dhruv.xd
Sat Nov 07 02:45:32 +0000 2015,Top 13 relationship deal breakers ,dhruv.xd
Sat Nov 07 01:45:36 +0000 2015,CBT for the winter blues? ,dhruv.xd
Sat Nov 07 00:15:43 +0000 2015,The Decisive Marriage ,dhruv.xd
Fri Nov 06 23:05:25 +0000 2015,Is mental suffering just like any other illness? mentalillness ,dhruv.xd
